,movie,year,imdb,metascore,votes
601,The Prestige,2006,8.5,66.0,1043786
602,300,2006,7.7,,683430
603,The Big Bang Theory,2007,8.2,,631620
604,Pirates of the Caribbean: Dead Man's Chest,2006,7.3,,604556
605,Dexter,2006,8.7,,588327
606,Pan's Labyrinth,2006,8.2,98.0,563084
607,Casino Royale,2006,8.0,80.0,532617
608,Blood Diamond,2006,8.0,64.0,457064
609,X-Men: The Last Stand,2006,6.7,,444316
610,Children of Men,2006,7.9,84.0,423783
611,Little Miss Sunshine,2006,7.8,80.0,404340
612,The Pursuit of Happyness,2006,8.0,64.0,399064
613,The Da Vinci Code,2006,6.6,,366721
614,The Illusionist,2006,7.6,68.0,334017
615,The Devil Wears Prada,2006,6.9,62.0,333742
616,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,7.3,89.0,328813
617,Cars,2006,7.1,73.0,321039
618,The Lives of Others,2006,8.4,89.0,316465
619,Inside Man,2006,7.6,76.0,310135
620,Mission: Impossible III,2006,6.9,66.0,301831
621,Lucky Number Slevin,2006,7.8,,286335
622,Night at the Museum,2006,6.4,,281740
623,Click,2006,6.4,,279557
624,Deja Vu,2006,7.1,,272861
625,Babel,2006,7.5,69.0,270695
626,Apocalypto,2006,7.8,68.0,267667
627,Superman Returns,2006,6.1,72.0,258606
628,Ice Age: The Meltdown,2006,6.8,,230448
629,Crank,2006,7.0,,219412
630,The Holiday,2006,6.9,,217591
631,Heroes,2006,7.6,,216905
632,Perfume: The Story of a Murderer,2006,7.5,,216838
633,The Fast and the Furious: Tokyo Drift,2006,6.0,,215194
634,The Fountain,2006,7.3,,214427
635,Stranger Than Fiction,2006,7.6,67.0,205208
636,Silent Hill,2006,6.6,,200398
637,Rocky Balboa,2006,7.2,63.0,187227
638,Underworld: Evolution,2006,6.7,,178163
639,Death Note: Desu nôto,2006,9.0,,174869
640,Saw III,2006,6.2,,164153
641,The Last King of Scotland,2006,7.7,74.0,163662
642,Happy Feet,2006,6.5,77.0,155275
643,Talladega Nights: The Ballad of Ricky Bobby,2006,6.6,66.0,151324
644,The Hills Have Eyes,2006,6.4,,147193
645,Over the Hedge,2006,6.7,67.0,145380
646,Letters from Iwo Jima,2006,7.9,89.0,145116
647,Planet Earth,2006,9.4,,142671
648,She's the Man,2006,6.4,,134957
649,Smokin' Aces,2006,6.7,,130573
650,The Departed,2006,8.5,85.0,1054865
651,The Prestige,2006,8.5,66.0,1043786
652,300,2006,7.7,,683430
653,The Big Bang Theory,2007,8.2,,631620
654,Pirates of the Caribbean: Dead Man's Chest,2006,7.3,,604556
655,Dexter,2006,8.7,,588327
656,Pan's Labyrinth,2006,8.2,98.0,563084
657,Casino Royale,2006,8.0,80.0,532617
658,Blood Diamond,2006,8.0,64.0,457064
659,X-Men: The Last Stand,2006,6.7,,444316
660,Children of Men,2006,7.9,84.0,423783
661,Little Miss Sunshine,2006,7.8,80.0,404340
662,The Pursuit of Happyness,2006,8.0,64.0,399064
663,The Da Vinci Code,2006,6.6,,366721
664,The Illusionist,2006,7.6,68.0,334017
665,The Devil Wears Prada,2006,6.9,62.0,333742
666,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,7.3,89.0,328813
667,Cars,2006,7.1,73.0,321039
668,The Lives of Others,2006,8.4,89.0,316465
669,Inside Man,2006,7.6,76.0,310135
670,Mission: Impossible III,2006,6.9,66.0,301831
671,Lucky Number Slevin,2006,7.8,,286335
672,Night at the Museum,2006,6.4,,281740
673,Click,2006,6.4,,279557
674,Deja Vu,2006,7.1,,272861
675,Babel,2006,7.5,69.0,270695
676,Apocalypto,2006,7.8,68.0,267667
677,Superman Returns,2006,6.1,72.0,258606
678,Ice Age: The Meltdown,2006,6.8,,230448
679,Crank,2006,7.0,,219412
680,The Holiday,2006,6.9,,217591
681,Heroes,2006,7.6,,216905
682,Perfume: The Story of a Murderer,2006,7.5,,216838
683,The Fast and the Furious: Tokyo Drift,2006,6.0,,215194
684,The Fountain,2006,7.3,,214427
685,Stranger Than Fiction,2006,7.6,67.0,205208
686,Silent Hill,2006,6.6,,200398
687,Rocky Balboa,2006,7.2,63.0,187227
688,Underworld: Evolution,2006,6.7,,178163
689,Death Note: Desu nôto,2006,9.0,,174869
690,Saw III,2006,6.2,,164153
691,The Last King of Scotland,2006,7.7,74.0,163662
692,Happy Feet,2006,6.5,77.0,155275
693,Talladega Nights: The Ballad of Ricky Bobby,2006,6.6,66.0,151324
694,The Hills Have Eyes,2006,6.4,,147193
695,Over the Hedge,2006,6.7,67.0,145380
696,Letters from Iwo Jima,2006,7.9,89.0,145116
697,Planet Earth,2006,9.4,,142671
698,She's the Man,2006,6.4,,134957
699,Smokin' Aces,2006,6.7,,130573
700,No Country for Old Men,2007,8.1,91.0,752739
701,I Am Legend,2007,7.2,65.0,624229
702,The Bourne Ultimatum,2007,8.0,85.0,575228
703,Ratatouille,2007,8.0,96.0,566104
704,Transformers,2007,7.1,61.0,564269
705,Pirates of the Caribbean: At World's End,2007,7.1,,548640
706,Into the Wild,2007,8.1,73.0,516918
707,Superbad,2007,7.6,76.0,476320
708,Juno,2007,7.5,81.0,460896
709,There Will Be Blood,2007,8.2,93.0,455644
710,Spider-Man 3,2007,6.2,,451941
711,Harry Potter and the Order of the Phoenix,2007,7.5,71.0,443705
712,Hot Fuzz,2007,7.9,81.0,418254
713,Zodiac,2007,7.7,78.0,382232
714,Live Free or Die Hard,2007,7.1,69.0,367903
715,American Gangster,2007,7.8,76.0,362281
716,Knocked Up,2007,7.0,85.0,328166
717,Sweeney Todd: The Demon Barber of Fleet Street,2007,7.4,83.0,318528
718,Ocean's Thirteen,2007,6.9,62.0,293708
719,Shooter,2007,7.2,,288331
720,The Simpsons Movie,2007,7.3,80.0,288308
721,3:10 to Yuma,2007,7.7,76.0,266913
722,The Mist,2007,7.2,,257019
723,Shrek the Third,2007,6.1,,250037
724,Death Proof,2007,7.0,,240007
725,1408,2007,6.8,64.0,239015
726,28 Weeks Later,2007,7.0,78.0,238981
727,Stardust,2007,7.7,66.0,236870
728,4: Rise of the Silver Surfer,2007,5.6,,235957
729,Gone Baby Gone,2007,7.7,72.0,230347
730,Atonement,2007,7.8,85.0,225195
731,Sunshine,2007,7.3,64.0,217310
732,Eastern Promises,2007,7.7,82.0,211952
733,The Bucket List,2007,7.4,,211358
734,Ghost Rider,2007,5.2,,206599
735,Paranormal Activity,2007,6.3,68.0,205966
736,Disturbia,2007,6.9,62.0,205476
737,National Treasure: Book of Secrets,2007,6.5,,203189
738,P.S. I Love You,2007,7.1,,189762
739,Planet Terror,2007,7.1,,186340
740,The Number 23,2007,6.4,,182915
741,Mad Men,2007,8.6,,175902
742,Resident Evil: Extinction,2007,6.3,,171237
743,Grindhouse,2007,7.6,77.0,168360
744,Fracture,2007,7.2,68.0,166765
745,The Golden Compass,2007,6.1,,165839
746,Enchanted,2007,7.1,75.0,163221
747,The Darjeeling Limited,2007,7.2,67.0,162991
748,Californication,2007,8.3,,161936
749,The Man from Earth,2007,7.9,,158160
750,No Country for Old Men,2007,8.1,91.0,752739
751,I Am Legend,2007,7.2,65.0,624229
752,The Bourne Ultimatum,2007,8.0,85.0,575228
753,Ratatouille,2007,8.0,96.0,566104
754,Transformers,2007,7.1,61.0,564269
755,Pirates of the Caribbean: At World's End,2007,7.1,,548640
756,Into the Wild,2007,8.1,73.0,516918
757,Superbad,2007,7.6,76.0,476320
758,Juno,2007,7.5,81.0,460896
759,There Will Be Blood,2007,8.2,93.0,455644
760,Spider-Man 3,2007,6.2,,451941
761,Harry Potter and the Order of the Phoenix,2007,7.5,71.0,443705
762,Hot Fuzz,2007,7.9,81.0,418254
763,Zodiac,2007,7.7,78.0,382232
764,Live Free or Die Hard,2007,7.1,69.0,367903
765,American Gangster,2007,7.8,76.0,362281
766,Knocked Up,2007,7.0,85.0,328166
767,Sweeney Todd: The Demon Barber of Fleet Street,2007,7.4,83.0,318528
768,Ocean's Thirteen,2007,6.9,62.0,293708
769,Shooter,2007,7.2,,288331
770,The Simpsons Movie,2007,7.3,80.0,288308
771,3:10 to Yuma,2007,7.7,76.0,266913
772,The Mist,2007,7.2,,257019
773,Shrek the Third,2007,6.1,,250037
774,Death Proof,2007,7.0,,240007
775,1408,2007,6.8,64.0,239015
776,28 Weeks Later,2007,7.0,78.0,238981
777,Stardust,2007,7.7,66.0,236870
778,4: Rise of the Silver Surfer,2007,5.6,,235957
779,Gone Baby Gone,2007,7.7,72.0,230347
780,Atonement,2007,7.8,85.0,225195
781,Sunshine,2007,7.3,64.0,217310
782,Eastern Promises,2007,7.7,82.0,211952
783,The Bucket List,2007,7.4,,211358
784,Ghost Rider,2007,5.2,,206599
785,Paranormal Activity,2007,6.3,68.0,205966
786,Disturbia,2007,6.9,62.0,205476
787,National Treasure: Book of Secrets,2007,6.5,,203189
788,P.S. I Love You,2007,7.1,,189762
789,Planet Terror,2007,7.1,,186340
790,The Number 23,2007,6.4,,182915
791,Mad Men,2007,8.6,,175902
792,Resident Evil: Extinction,2007,6.3,,171237
793,Grindhouse,2007,7.6,77.0,168360
794,Fracture,2007,7.2,68.0,166765
795,The Golden Compass,2007,6.1,,165839
796,Enchanted,2007,7.1,75.0,163221
797,The Darjeeling Limited,2007,7.2,67.0,162991
798,Californication,2007,8.3,,161936
799,The Man from Earth,2007,7.9,,158160
800,The Dark Knight,2008,9.0,84.0,2020298
801,Breaking Bad,2008,9.5,,1159103
802,WALL·E,2008,8.4,95.0,887059
803,Iron Man,2008,7.9,79.0,833410
804,Slumdog Millionaire,2008,8.0,86.0,737092
805,Gran Torino,2008,8.1,72.0,660559
806,Taken,2008,7.8,,533575
807,The Curious Case of Benjamin Button,2008,7.8,70.0,531326
808,Hancock,2008,6.4,,404972
809,Twilight,2008,5.2,,388675
810,The Incredible Hulk,2008,6.8,61.0,387633
811,The Hurt Locker,2008,7.6,94.0,386666
812,Indiana Jones and the Kingdom of the Crystal Skull,2008,6.2,65.0,386439
813,Quantum of Solace,2008,6.6,,373216
814,Kung Fu Panda,2008,7.6,73.0,372488
815,In Bruges,2008,7.9,67.0,356760
816,Tropic Thunder,2008,7.0,71.0,347344
817,Cloverfield,2008,7.0,64.0,347056
818,Wanted,2008,6.7,64.0,335979
819,Yes Man,2008,6.8,,306892
820,Pineapple Express,2008,7.0,64.0,289019
821,Burn After Reading,2008,7.0,63.0,283739
822,The Wrestler,2008,7.9,81.0,275205
823,Jumper,2008,6.1,,268993
824,Seven Pounds,2008,7.6,,264952
825,Forgetting Sarah Marshall,2008,7.2,67.0,244595
826,Step Brothers,2008,6.9,,243106
827,Hellboy II: The Golden Army,2008,7.0,78.0,236112
828,Sons of Anarchy,2008,8.6,,226249
829,Vicky Cristina Barcelona,2008,7.1,70.0,225168
830,Changeling,2008,7.7,63.0,221065
831,RocknRolla,2008,7.3,,217462
832,True Blood,2008,7.9,,217382
833,The Reader,2008,7.6,,215464
834,21,2008,6.8,,211342
835,Valkyrie,2008,7.1,,211237
836,Role Models,2008,6.9,61.0,209788
837,Fringe,2008,8.4,,204216
838,Rambo,2008,7.0,,199390
839,Body of Lies,2008,7.1,,196979
840,Yip Man,2008,8.0,,193982
841,Låt den rätte komma in,2008,7.9,82.0,193157
842,Get Smart,2008,6.5,,187975
843,Mamma Mia!,2008,6.4,,187971
844,Death Race,2008,6.4,,185759
845,The Happening,2008,5.0,,184319
846,Madagascar: Escape 2 Africa,2008,6.7,61.0,178943
847,The Chronicles of Narnia: Prince Caspian,2008,6.5,62.0,176120
848,Revolutionary Road,2008,7.3,69.0,175467
849,You Don't Mess with the Zohan,2008,5.5,,175208
850,The Dark Knight,2008,9.0,84.0,2020298
851,Breaking Bad,2008,9.5,,1159103
852,WALL·E,2008,8.4,95.0,887059
853,Iron Man,2008,7.9,79.0,833410
854,Slumdog Millionaire,2008,8.0,86.0,737092
855,Gran Torino,2008,8.1,72.0,660559
856,Taken,2008,7.8,,533575
857,The Curious Case of Benjamin Button,2008,7.8,70.0,531326
858,Hancock,2008,6.4,,404972
859,Twilight,2008,5.2,,388675
860,The Incredible Hulk,2008,6.8,61.0,387633
861,The Hurt Locker,2008,7.6,94.0,386666
862,Indiana Jones and the Kingdom of the Crystal Skull,2008,6.2,65.0,386439
863,Quantum of Solace,2008,6.6,,373216
864,Kung Fu Panda,2008,7.6,73.0,372488
865,In Bruges,2008,7.9,67.0,356760
866,Tropic Thunder,2008,7.0,71.0,347344
867,Cloverfield,2008,7.0,64.0,347056
868,Wanted,2008,6.7,64.0,335979
869,Yes Man,2008,6.8,,306892
870,Pineapple Express,2008,7.0,64.0,289019
871,Burn After Reading,2008,7.0,63.0,283739
872,The Wrestler,2008,7.9,81.0,275205
873,Jumper,2008,6.1,,268993
874,Seven Pounds,2008,7.6,,264952
875,Forgetting Sarah Marshall,2008,7.2,67.0,244595
876,Step Brothers,2008,6.9,,243106
877,Hellboy II: The Golden Army,2008,7.0,78.0,236112
878,Sons of Anarchy,2008,8.6,,226249
879,Vicky Cristina Barcelona,2008,7.1,70.0,225168
880,Changeling,2008,7.7,63.0,221065
881,RocknRolla,2008,7.3,,217462
882,True Blood,2008,7.9,,217382
883,The Reader,2008,7.6,,215464
884,21,2008,6.8,,211342
885,Valkyrie,2008,7.1,,211237
886,Role Models,2008,6.9,61.0,209788
887,Fringe,2008,8.4,,204216
888,Rambo,2008,7.0,,199390
889,Body of Lies,2008,7.1,,196979
890,Yip Man,2008,8.0,,193982
891,Låt den rätte komma in,2008,7.9,82.0,193157
892,Get Smart,2008,6.5,,187975
893,Mamma Mia!,2008,6.4,,187971
894,Death Race,2008,6.4,,185759
895,The Happening,2008,5.0,,184319
896,Madagascar: Escape 2 Africa,2008,6.7,61.0,178943
897,The Chronicles of Narnia: Prince Caspian,2008,6.5,62.0,176120
898,Revolutionary Road,2008,7.3,69.0,175467
899,You Don't Mess with the Zohan,2008,5.5,,175208
900,Inglourious Basterds,2009,8.3,69.0,1095469
901,Avatar,2009,7.8,83.0,1025696
902,Up,2009,8.3,88.0,826985
903,The Hangover,2009,7.7,73.0,659826
904,District 9,2009,7.9,81.0,597305
905,Star Trek,2009,8.0,82.0,552500
906,Sherlock Holmes,2009,7.6,,542056
907,Zombieland,2009,7.6,73.0,450316
908,Watchmen,2009,7.6,,448305
909,(500) Days of Summer,2009,7.7,76.0,435020
910,X-Men Origins: Wolverine,2009,6.6,,428469
911,Harry Potter and the Half-Blood Prince,2009,7.6,78.0,408649
912,Transformers: Revenge of the Fallen,2009,6.0,,360951
913,2012,2009,5.8,,323441
914,Terminator Salvation,2009,6.6,,316720
915,Moon,2009,7.9,67.0,308043
916,Modern Family,2009,8.4,,306167
917,Up in the Air,2009,7.4,83.0,297985
918,3 Idiots,2009,8.4,67.0,292171
919,The Proposal,2009,6.7,,268055
920,The Blind Side,2009,7.7,,262638
921,The Vampire Diaries,2009,7.7,,258734
922,Public Enemies,2009,7.0,70.0,258567
923,Law Abiding Citizen,2009,7.4,,249068
924,Angels & Demons,2009,6.7,,248786
925,The Twilight Saga: New Moon,2009,4.7,,245496
926,Fast & Furious,2009,6.6,,238711
927,Hachi: A Dog's Tale,2009,8.1,,218217
928,Knowing,2009,6.2,,206858
929,The Road,2009,7.3,64.0,204685
930,Ice Age: Dawn of the Dinosaurs,2009,7.0,,199482
931,Män som hatar kvinnor,2009,7.8,76.0,195787
932,Mr. Nobody,2009,7.8,63.0,193670
933,G.I. Joe: The Rise of Cobra,2009,5.8,,189762
934,The Ugly Truth,2009,6.5,,187398
935,"I Love You, Man",2009,7.0,70.0,183933
936,Cloudy with a Chance of Meatballs,2009,7.0,66.0,182670
937,Coraline,2009,7.7,80.0,176052
938,Drag Me to Hell,2009,6.6,83.0,175315
939,Fantastic Mr. Fox,2009,7.9,83.0,173546
940,Orphan,2009,7.0,,172485
941,Community,2009,8.5,,171315
942,The Taking of Pelham 123,2009,6.4,,170839
943,El secreto de sus ojos,2009,8.2,80.0,169811
944,Parks and Recreation,2009,8.6,,169776
945,17 Again,2009,6.4,,164715
946,Surrogates,2009,6.3,,162305
947,Night at the Museum: Battle of the Smithsonian,2009,6.0,,157650
948,Mary and Max,2009,8.1,,148603
949,He's Just Not That Into You,2009,6.4,,148114
950,Inglourious Basterds,2009,8.3,69.0,1095469
951,Avatar,2009,7.8,83.0,1025696
952,Up,2009,8.3,88.0,826985
953,The Hangover,2009,7.7,73.0,659826
954,District 9,2009,7.9,81.0,597305
955,Star Trek,2009,8.0,82.0,552500
956,Sherlock Holmes,2009,7.6,,542056
957,Zombieland,2009,7.6,73.0,450316
958,Watchmen,2009,7.6,,448305
959,(500) Days of Summer,2009,7.7,76.0,435020
960,X-Men Origins: Wolverine,2009,6.6,,428469
961,Harry Potter and the Half-Blood Prince,2009,7.6,78.0,408649
962,Transformers: Revenge of the Fallen,2009,6.0,,360951
963,2012,2009,5.8,,323441
964,Terminator Salvation,2009,6.6,,316720
965,Moon,2009,7.9,67.0,308043
966,Modern Family,2009,8.4,,306167
967,Up in the Air,2009,7.4,83.0,297985
968,3 Idiots,2009,8.4,67.0,292171
969,The Proposal,2009,6.7,,268055
970,The Blind Side,2009,7.7,,262638
971,The Vampire Diaries,2009,7.7,,258734
972,Public Enemies,2009,7.0,70.0,258567
973,Law Abiding Citizen,2009,7.4,,249068
974,Angels & Demons,2009,6.7,,248786
975,The Twilight Saga: New Moon,2009,4.7,,245496
976,Fast & Furious,2009,6.6,,238711
977,Hachi: A Dog's Tale,2009,8.1,,218217
978,Knowing,2009,6.2,,206858
979,The Road,2009,7.3,64.0,204685
980,Ice Age: Dawn of the Dinosaurs,2009,7.0,,199482
981,Män som hatar kvinnor,2009,7.8,76.0,195787
982,Mr. Nobody,2009,7.8,63.0,193670
983,G.I. Joe: The Rise of Cobra,2009,5.8,,189762
984,The Ugly Truth,2009,6.5,,187398
985,"I Love You, Man",2009,7.0,70.0,183933
986,Cloudy with a Chance of Meatballs,2009,7.0,66.0,182670
987,Coraline,2009,7.7,80.0,176052
988,Drag Me to Hell,2009,6.6,83.0,175315
989,Fantastic Mr. Fox,2009,7.9,83.0,173546
990,Orphan,2009,7.0,,172485
991,Community,2009,8.5,,171315
992,The Taking of Pelham 123,2009,6.4,,170839
993,El secreto de sus ojos,2009,8.2,80.0,169811
994,Parks and Recreation,2009,8.6,,169776
995,17 Again,2009,6.4,,164715
996,Surrogates,2009,6.3,,162305
997,Night at the Museum: Battle of the Smithsonian,2009,6.0,,157650
998,Mary and Max,2009,8.1,,148603
999,He's Just Not That Into You,2009,6.4,,148114
1000,Inception,2010,8.8,74.0,1799695
1001,Shutter Island,2010,8.1,63.0,983982
1002,The Walking Dead,2010,8.3,,771362
1003,Sherlock,2010,9.2,,684885
1004,Toy Story 3,2010,8.3,92.0,667157
1005,Black Swan,2010,8.0,79.0,638580
1006,Iron Man 2,2010,7.0,,633681
1007,How to Train Your Dragon,2010,8.1,74.0,595638
1008,The King's Speech,2010,8.0,88.0,584869
1009,The Social Network,2010,7.7,95.0,560871
1010,Kick-Ass,2010,7.6,66.0,491089
1011,Despicable Me,2010,7.7,72.0,456440
1012,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65.0,415351
1013,Tangled,2010,7.8,71.0,358425
1014,Alice in Wonderland,2010,6.5,,353451
1015,Scott Pilgrim vs. the World,2010,7.5,69.0,331928
1016,Easy A,2010,7.1,72.0,324718
1017,127 Hours,2010,7.6,82.0,319032
1018,The Town,2010,7.6,74.0,318372
1019,The Fighter,2010,7.8,79.0,312613
1020,The Expendables,2010,6.5,,304315
1021,Due Date,2010,6.6,,300267
1022,Tron,2010,6.8,,292660
1023,True Grit,2010,7.6,80.0,279638
1024,Salt,2010,6.4,65.0,274457
1025,RED,2010,7.1,,268487
1026,The Book of Eli,2010,6.9,,267072
1027,Clash of the Titans,2010,5.8,,253262
1028,Prince of Persia: The Sands of Time,2010,6.6,,251286
1029,Insidious,2010,6.9,,249062
1030,Robin Hood,2010,6.7,,236953
1031,The A-Team,2010,6.8,,233044
1032,The Other Guys,2010,6.7,64.0,218263
1033,The Twilight Saga: Eclipse,2010,5.0,,208612
1034,Grown Ups,2010,6.0,,207311
1035,The Tourist,2010,6.0,,204038
1036,Megamind,2010,7.3,63.0,203939
1037,Spartacus: Blood and Sand,2010,8.5,,201831
1038,Predators,2010,6.4,,197026
1039,Machete,2010,6.6,,180656
1040,Unstoppable,2010,6.8,69.0,170865
1041,Knight and Day,2010,6.3,,168068
1042,Blue Valentine,2010,7.4,81.0,167676
1043,The Next Three Days,2010,7.4,,165338
1044,Love & Other Drugs,2010,6.7,,165204
1045,Shrek Forever After,2010,6.3,,163980
1046,Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,,162846
1047,Get Him to the Greek,2010,6.4,65.0,160290
1048,Boardwalk Empire,2010,8.6,,157334
1049,Hot Tub Time Machine,2010,6.4,63.0,152544
1050,Inception,2010,8.8,74.0,1799695
1051,Shutter Island,2010,8.1,63.0,983982
1052,The Walking Dead,2010,8.3,,771362
1053,Sherlock,2010,9.2,,684885
1054,Toy Story 3,2010,8.3,92.0,667157
1055,Black Swan,2010,8.0,79.0,638580
1056,Iron Man 2,2010,7.0,,633681
1057,How to Train Your Dragon,2010,8.1,74.0,595638
1058,The King's Speech,2010,8.0,88.0,584869
1059,The Social Network,2010,7.7,95.0,560871
1060,Kick-Ass,2010,7.6,66.0,491089
1061,Despicable Me,2010,7.7,72.0,456440
1062,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65.0,415351
1063,Tangled,2010,7.8,71.0,358425
1064,Alice in Wonderland,2010,6.5,,353451
1065,Scott Pilgrim vs. the World,2010,7.5,69.0,331928
1066,Easy A,2010,7.1,72.0,324718
1067,127 Hours,2010,7.6,82.0,319032
1068,The Town,2010,7.6,74.0,318372
1069,The Fighter,2010,7.8,79.0,312613
1070,The Expendables,2010,6.5,,304315
1071,Due Date,2010,6.6,,300267
1072,Tron,2010,6.8,,292660
1073,True Grit,2010,7.6,80.0,279638
1074,Salt,2010,6.4,65.0,274457
1075,RED,2010,7.1,,268487
1076,The Book of Eli,2010,6.9,,267072
1077,Clash of the Titans,2010,5.8,,253262
1078,Prince of Persia: The Sands of Time,2010,6.6,,251286
1079,Insidious,2010,6.9,,249062
1080,Robin Hood,2010,6.7,,236953
1081,The A-Team,2010,6.8,,233044
1082,The Other Guys,2010,6.7,64.0,218263
1083,The Twilight Saga: Eclipse,2010,5.0,,208612
1084,Grown Ups,2010,6.0,,207311
1085,The Tourist,2010,6.0,,204038
1086,Megamind,2010,7.3,63.0,203939
1087,Spartacus: Blood and Sand,2010,8.5,,201831
1088,Predators,2010,6.4,,197026
1089,Machete,2010,6.6,,180656
1090,Unstoppable,2010,6.8,69.0,170865
1091,Knight and Day,2010,6.3,,168068
1092,Blue Valentine,2010,7.4,81.0,167676
1093,The Next Three Days,2010,7.4,,165338
1094,Love & Other Drugs,2010,6.7,,165204
1095,Shrek Forever After,2010,6.3,,163980
1096,Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,,162846
1097,Get Him to the Greek,2010,6.4,65.0,160290
1098,Boardwalk Empire,2010,8.6,,157334
1099,Hot Tub Time Machine,2010,6.4,63.0,152544
1100,Game of Thrones,2011,9.5,,1410281
1101,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87.0,678138
1102,The Intouchables,2011,8.5,,658670
1103,Thor,2011,7.0,,657742
1104,Captain America: The First Avenger,2011,6.9,66.0,637116
1105,X: First Class,2011,7.7,65.0,598227
1106,Drive,2011,7.8,78.0,513419
1107,Limitless,2011,7.4,,485122
1108,Rise of the Planet of the Apes,2011,7.6,68.0,467487
1109,Source Code,2011,7.5,74.0,445963
1110,Pirates of the Caribbean: On Stranger Tides,2011,6.6,,440411
1111,"Crazy, Stupid, Love.",2011,7.4,68.0,431726
1112,The Hangover Part II,2011,6.5,,426659
1113,Mission: Impossible - Ghost Protocol,2011,7.4,73.0,422185
1114,Warrior,2011,8.2,71.0,398258
1115,Horrible Bosses,2011,6.9,,394467
1116,Sherlock Holmes: A Game of Shadows,2011,7.5,,388729
1117,The Help,2011,8.1,62.0,386064
1118,The Girl with the Dragon Tattoo,2011,7.8,71.0,382537
1119,Transformers: Dark of the Moon,2011,6.3,,362432
1120,Midnight in Paris,2011,7.7,81.0,351333
1121,In Time,2011,6.7,,342101
1122,The Cabin in the Woods,2011,7.0,72.0,332792
1123,Fast Five,2011,7.3,66.0,325713
1124,Moneyball,2011,7.6,87.0,321309
1125,Suits,2011,8.6,,318762
1126,Super 8,2011,7.0,72.0,317641
1127,Friends with Benefits,2011,6.6,63.0,312923
1128,50/50,2011,7.7,72.0,297692
1129,Black Mirror,2011,8.9,,290549
1130,Hugo,2011,7.5,83.0,281439
1131,Real Steel,2011,7.1,,281175
1132,Homeland,2011,8.3,,274668
1133,Green Lantern,2011,5.5,,249257
1134,Bridesmaids,2011,6.8,75.0,246487
1135,American Horror Story,2011,8.1,,245368
1136,Unknown,2011,6.9,,233045
1137,The Grey,2011,6.8,64.0,226513
1138,The Adjustment Bureau,2011,7.1,,225023
1139,Kung Fu Panda 2,2011,7.2,67.0,223198
1140,The Descendants,2011,7.3,84.0,221929
1141,Paul,2011,7.0,,217708
1142,Sucker Punch,2011,6.1,,216304
1143,I Am Number Four,2011,6.1,,215514
1144,The Artist,2011,7.9,89.0,215060
1145,Rango,2011,7.2,75.0,212441
1146,The Ides of March,2011,7.1,67.0,205955
1147,The Twilight Saga: Breaking Dawn - Part 1,2011,4.9,,205429
1148,The Adventures of Tintin,2011,7.3,68.0,200010
1149,Contagion,2011,6.6,70.0,199426
1150,Game of Thrones,2011,9.5,,1410281
1151,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87.0,678138
1152,The Intouchables,2011,8.5,,658670
1153,Thor,2011,7.0,,657742
1154,Captain America: The First Avenger,2011,6.9,66.0,637116
1155,X: First Class,2011,7.7,65.0,598227
1156,Drive,2011,7.8,78.0,513419
1157,Limitless,2011,7.4,,485122
1158,Rise of the Planet of the Apes,2011,7.6,68.0,467487
1159,Source Code,2011,7.5,74.0,445963
1160,Pirates of the Caribbean: On Stranger Tides,2011,6.6,,440411
1161,"Crazy, Stupid, Love.",2011,7.4,68.0,431726
1162,The Hangover Part II,2011,6.5,,426659
1163,Mission: Impossible - Ghost Protocol,2011,7.4,73.0,422185
1164,Warrior,2011,8.2,71.0,398258
1165,Horrible Bosses,2011,6.9,,394467
1166,Sherlock Holmes: A Game of Shadows,2011,7.5,,388729
1167,The Help,2011,8.1,62.0,386064
1168,The Girl with the Dragon Tattoo,2011,7.8,71.0,382537
1169,Transformers: Dark of the Moon,2011,6.3,,362432
1170,Midnight in Paris,2011,7.7,81.0,351333
1171,In Time,2011,6.7,,342101
1172,The Cabin in the Woods,2011,7.0,72.0,332792
1173,Fast Five,2011,7.3,66.0,325713
1174,Moneyball,2011,7.6,87.0,321309
1175,Suits,2011,8.6,,318762
1176,Super 8,2011,7.0,72.0,317641
1177,Friends with Benefits,2011,6.6,63.0,312923
1178,50/50,2011,7.7,72.0,297692
1179,Black Mirror,2011,8.9,,290549
1180,Hugo,2011,7.5,83.0,281439
1181,Real Steel,2011,7.1,,281175
1182,Homeland,2011,8.3,,274668
1183,Green Lantern,2011,5.5,,249257
1184,Bridesmaids,2011,6.8,75.0,246487
1185,American Horror Story,2011,8.1,,245368
1186,Unknown,2011,6.9,,233045
1187,The Grey,2011,6.8,64.0,226513
1188,The Adjustment Bureau,2011,7.1,,225023
1189,Kung Fu Panda 2,2011,7.2,67.0,223198
1190,The Descendants,2011,7.3,84.0,221929
1191,Paul,2011,7.0,,217708
1192,Sucker Punch,2011,6.1,,216304
